t: 0        w: 0       
t: 1        w: 1       
t: 2        w: 2       
t: 3        w: 3       
t: 4        w: 4       
t: 5        w: 5       
t: 6        w: 6       
t: 7        w: 7       
t: 8        w: 8       
t: 9        w: 9       
t: 10       w: 10      
t: 11       w: 11      
t: 12       w: 12      
t: 13       w: 13      
t: 14       w: 14      
t: 15       w: 15      
t: 16       w: 16      
t: 17       w: 17      
t: 18       w: 18      
t: 19       w: 19      
t: 20       w: 20      
t: 21       w: 21      
t: 22       w: 22      
t: 23       w: 23      
t: 24       w: 24      
t: 25       w: 25      
t: 26       w: 26      
t: 27       w: 27      
t: 28       w: 28      
t: 29       w: 29      
t: 30       w: 20      
t: 31       w: 21      
t: 32       w: 22      
t: 33       w: 23      
t: 34       w: 24      
t: 35       w: 25      
t: 36       w: 26      
t: 37       w: 27      
t: 38       w: 28      
t: 39       w: 29      
t: 40       w: 20      
t: 41       w: 21      
t: 42       w: 22      
t: 43       w: 23      
t: 44       w: 24      
t: 45       w: 25      
t: 46       w: 26      
t: 47       w: 27      
t: 48       w: 28      
t: 49       w: 29      
t: 50       w: 20      
t: 51       w: 21      
t: 52       w: 22      
