t: 0        h: 2       
t: 0.01     h: 1.99902 
t: 0.02     h: 1.99706 
t: 0.03     h: 1.99411 
t: 0.04     h: 1.99019 
t: 0.05     h: 1.98529 
t: 0.06     h: 1.9794  
t: 0.07     h: 1.97253 
t: 0.08     h: 1.96468 
t: 0.09     h: 1.95586 
t: 0.1      h: 1.94605 
t: 0.11     h: 1.93525 
t: 0.12     h: 1.92348 
t: 0.13     h: 1.91073 
t: 0.14     h: 1.897   
t: 0.15     h: 1.88228 
t: 0.16     h: 1.86658 
t: 0.17     h: 1.84991 
t: 0.18     h: 1.83225 
t: 0.19     h: 1.81361 
t: 0.2      h: 1.79399 
t: 0.21     h: 1.77339 
t: 0.22     h: 1.75181 
t: 0.23     h: 1.72925 
t: 0.24     h: 1.7057  
t: 0.25     h: 1.68118 
t: 0.26     h: 1.65568 
t: 0.27     h: 1.62919 
t: 0.28     h: 1.60172 
t: 0.29     h: 1.57328 
t: 0.3      h: 1.54385 
t: 0.31     h: 1.51344 
t: 0.32     h: 1.48205 
t: 0.33     h: 1.44968 
t: 0.34     h: 1.41633 
t: 0.35     h: 1.38199 
t: 0.36     h: 1.34668 
t: 0.37     h: 1.31039 
t: 0.38     h: 1.27311 
t: 0.39     h: 1.23486 
t: 0.4      h: 1.19562 
t: 0.41     h: 1.1554  
t: 0.42     h: 1.1142  
t: 0.43     h: 1.07203 
t: 0.44     h: 1.02887 
t: 0.45     h: 0.984728
t: 0.46     h: 0.939608
t: 0.47     h: 0.893507
t: 0.48     h: 0.846425
t: 0.49     h: 0.798364
t: 0.5      h: 0.749321
t: 0.51     h: 0.699298
t: 0.52     h: 0.648294
